speech_id,topics
1130000541,"crime, education, federalism, health, justice, minorities"
1130000542,"education, federalism, government, health, justice, minorities, crime, defense"
1130000543,"crime, education, health"
1130000544,None
1130000545,None
1130000546,None
1130000547,None
1130000548,None
1130000549,None
1130000550,None
1130000551,"alcohol, federalism, religion"
1130000552,None
1130000553,"education, federalism"
1130000554,"business, education, environment, labor, minorities"
1130000555,"defense, federalism"
1130000556,labor
1130000557,"budget, education, federalism, foreign, immigration"
1130000558,"alcohol, federalism, labor"
1130000559,economy
1130000560,"defense, justice, labor"
1130000561,"budget, business, government, health, justice, labor, minorities, tax"
1130000562,budget
1130000563,"business, defense, education, federalism, health, labor, minorities"
1130000564,"federalism, religion"
1130000565,"defense, labor"
1130000566,None
1130000567,"education, federalism, money"
1130000568,"federalism, government"
1130000569,"business, crime, defense, education"
1130000570,"alcohol, federalism, justice, labor, minorities"
1130000571,"defense, education"
1130000572,"environment, federalism, justice, labor, minorities"
1130000573,"crime, defense, labor, minorities"
1130000574,"budget, crime, defense, education, elections, federalism, health, justice, government"
1130000575,None
1130000576,None
1130000577,None
1130000578,None
1130000579,"federalism, labor"
1130000580,None
1130000581,None
1130000582,federalism
1130000583,"federalism, immigration"
1130000584,None
1130000585,federalism
1130000586,None
1130000587,federalism
1130000588,None
1130000589,"elections, federalism"
1130000590,None
1130000591,None
1130000592,None
1130000593,"federalism, immigration"
1130000594,None
1130000595,elections
1130000596,None
1130000597,None
1130000598,None
1130000599,"business, justice"
1130000600,None
1130000601,federalism
1130000602,None
1130000603,None
1130000604,None
1130000605,None
1130000606,None
1130000607,None
1130000608,None
1130000609,None
1130000610,None
1130000611,None
1130000612,None
1130000613,None
1130000614,None
1130000615,None
1130000616,None
1130000617,None
1130000618,None
1130000619,None
1130000620,None
1130000621,None
1130000622,None
1130000623,elections
1130000624,None
1130000625,labor
1130000626,None
1130000627,"business, foreign, immigration, minorities"
1130000628,None
1130000629,"foreign, immigration, justice, minorities, money"
1130000630,None
1130000631,"defense, justice"
1130000632,None
1130000633,"defense, federalism, labor"
1130000634,None
1130000635,federalism
1130000636,None
1130000637,tax
1130000638,None
1130000639,"federalism, labor, tax"
1130000640,None
1130000641,"business, federalism, foreign"
1130000642,None
1130000643,"business, federalism, money"
1130000644,None
1130000645,"defense, federalism, foreign, immigration"
1130000646,None
1130000647,"business, federalism, minorities"
1130000648,None
1130000649,immigration
1130000650,None
1130000651,None
1130000652,None
1130000653,justice
1130000654,None
1130000655,"federalism, labor"
1130000656,None
1130000657,justice
1130000658,None
1130000659,"federalism, foreign, immigration, justice"
1130000660,None
1130000661,"defense, federalism, foreign, justice"
1130000662,None
1130000663,"business, crime, federalism"
1130000664,None
1130000665,labor
1130000666,None
1130000667,"federalism, minorities"
1130000668,None
1130000669,federalism
1130000670,None
1130000671,None
1130000672,None
1130000673,None
1130000674,None
1130000675,"business, defense, federalism, justice, minorities"
1130000676,None
1130000677,"crime, defense, justice, minorities"
1130000678,None
1130000679,"crime, federalism, justice, minorities"
1130000680,None
1130000681,"justice, minorities"
1130000682,None
1130000683,None
1130000684,None
1130000685,"elections, federalism, foreign"
1130000686,None
1130000687,"elections, federalism"
1130000688,None
1130000689,None
1130000690,None
1130000691,crime
1130000692,None
1130000693,"federalism, minorities"
1130000694,None
1130000695,"crime, elections, federalism, justice, minorities"
1130000696,None
1130000697,"budget, elections, federalism, foreign, money"
1130000698,None
1130000699,"elections, federalism, foreign, justice, labor, minorities"
1130000700,None
1130000701,"elections, federalism"
1130000702,None
1130000703,"elections, federalism, justice, minorities"
1130000704,None
1130000705,None
1130000706,None
1130000707,None
1130000708,None
1130000709,"justice, minorities"
1130000710,None
1130000711,federalism
1130000712,None
1130000713,None
1130000714,None
1130000715,"federalism, minorities"
1130000716,None
1130000717,"elections, federalism, justice, labor, minorities, tax"
1130000718,None
1130000719,None
1130000720,None
1130000721,"elections, federalism, justice, minorities"
1130000722,None
1130000723,None
1130000724,None
1130000725,None
1130000726,"education, federalism"
1130000727,"budget, defense, health, labor"
1130000728,government
1130000729,federalism
1130000730,"business, labor"
1130000731,"labor, minorities"
1130000732,"federalism, minorities"
1130000733,None
1130000734,"budget, labor, tax"
1130000735,"economy, labor"
1130000736,None
1130000737,budget
1130000738,health
1130000739,"crime, federalism, justice, labor, minorities"
1130000740,"federalism, government"
1130000741,minorities
1130000742,"business, federalism"
1130000743,"defense, education, elections"
1130000744,None
1130000745,"health, minorities"
1130000746,None
1130000747,None
1130000748,None
1130000749,None
1130000750,None
1130000751,None
1130000752,None
1130000753,"budget, business, elections, federalism, justice, labor, religion"
1130000754,foreign
1130000755,defense
1130000756,"defense, elections"
1130000757,None
1130000758,None
1130000759,"elections, foreign, justice, labor, minorities"
1130000760,None
1130000761,foreign
1130000762,None
1130000763,"budget, government, health, justice, minorities"
1130000764,None
1130000765,"business, justice, minorities"
1130000766,None
1130000767,"defense, federalism, labor, money"
1130000768,None
1130000769,None
1130000770,None
1130000771,None
1130000772,"defense, elections, money"
1130000773,None
1130000774,None
1130000775,None
1130000776,None
1130000777,foreign
1130000778,None
1130000779,"elections, labor"
1130000780,None
1130000781,None
1130000782,None
1130000783,None
1130000784,None
1130000785,None
1130000786,"business, elections, federalism, foreign, labor"
1130000787,None
1130000788,None
1130000789,"elections, federalism, minorities"
1130000790,None
1130000791,None
1130000792,None
1130000793,"business, elections, foreign, labor, trade"
1130000794,None
1130000795,None
1130000796,None
1130000797,None
1130000798,"health, justice, minorities"
1130000799,None
1130000800,"justice, minorities"
1130000801,None
1130000802,"elections, labor"
1130000803,None
1130000804,None
1130000805,"elections, labor"
1130000806,foreign
1130000807,None
1130000808,"justice, minorities"
1130000809,None
1130000810,None
1130000811,"business, elections"
1130000812,None
1130000813,None
1130000814,None
1130000815,"federalism, foreign"
1130000816,None
1130000817,None
1130000818,foreign
1130000819,None
1130000820,None
1130000821,elections
1130000822,elections
1130000823,None
1130000824,None
1130000825,elections
1130000826,elections
1130000827,None
1130000828,elections
1130000829,None
1130000830,None
1130000831,elections
1130000832,elections
1130000833,elections
1130000834,None
1130000835,None
1130000836,None
1130000837,None
1130000838,"business, foreign"
1130000839,None
1130000840,"foreign, health"
1130000841,foreign
1130000842,"business, minorities"
1130000843,None
1130000844,"foreign, justice"
1130000845,None
1130000846,None
1130000847,None
1130000848,None
1130000849,None
1130000850,None
1130000851,None
1130000852,defense
1130000853,"defense, elections, money"
1130000854,None
1130000855,None
1130000856,"elections, justice"
1130000857,None
1130000858,health
1130000859,None
1130000860,labor
1130000861,None
1130000862,None
1130000863,foreign
1130000864,None
1130000865,None
1130000866,None
1130000867,"elections, foreign, health"
1130000868,None
1130000869,None
1130000870,None
1130000871,"education, health"
1130000872,None
1130000873,None
1130000874,None
1130000875,None
1130000876,None
1130000877,None
1130000878,None
1130000879,education
1130000880,None
1130000881,None
1130000882,"budget, elections, federalism, labor"
1130000883,None
1130000884,None
1130000885,None
1130000886,"federalism, justice"
1130000887,None
1130000888,None
1130000889,None
1130000890,environment
1130000891,None
1130000892,None
1130000893,None
1130000894,None
1130000895,None
1130000896,"elections, federalism, justice, minorities"
1130000897,None
1130000898,None
1130000899,"justice, minorities"
1130000900,None
1130000901,None
1130000902,"economy, health, tax"
1130000903,None
1130000904,None
1130000905,"elections, justice, minorities"
1130000906,None
1130000907,None
1130000908,"business, elections, justice, labor, religion"
1130000909,None
1130000910,None
1130000911,"elections, federalism, foreign, health, justice"
1130000912,None
1130000913,None
1130000914,"federalism, foreign, justice, minorities"
1130000915,None
1130000916,"budget, elections, money"
1130000917,None
1130000918,labor
1130000919,"budget, federalism, labor, money"
1130000920,"budget, labor"
1130000921,"elections, foreign, money"
1130000922,None
1130000923,elections
1130000924,None
1130000925,None
1130000926,"budget, justice, minorities"
1130000927,None
1130000928,"budget, business, elections, labor"
1130000929,"budget, labor"
1130000930,None
1130000931,"budget, federalism, justice, labor"
1130000932,None
1130000933,None
1130000934,None
1130000935,"budget, defense, foreign, health, immigration"
1130000936,None
1130000937,budget
1130000938,"foreign, health, labor, minorities"
1130000939,None
1130000940,None
1130000941,None
1130000942,None
1130000943,None
1130000944,elections
1130000945,elections
1130000946,elections
1130000947,elections
1130000948,elections
1130000949,justice
1130000950,foreign
1130000951,"federalism, labor"
1130000952,None
1130000953,"federalism, foreign, tax"
1130000954,None
1130000955,"labor, money"
1130000956,None
1130000957,None
1130000958,None
1130000959,justice
1130000960,None
1130000961,None
1130000962,"elections, federalism, justice"
1130000963,federalism
1130000964,None
1130000965,None
1130000966,federalism
1130000967,None
1130000968,"federalism, justice, minorities"
1130000969,None
1130000970,minorities
1130000971,None
1130000972,None
1130000973,foreign
1130000974,None
1130000975,government
1130000976,None
1130000977,None
1130000978,None
1130000979,None
1130000980,government
1130000981,"justice, labor, money"
1130000982,"elections, foreign"
1130000983,None
1130000984,None
